Unnamed: 0,match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
146,Pakistan Vs South Africa,Pakistan,7,Shan Masood,2,6,0,0,33.33,out,T20I # 1861
147,Pakistan Vs South Africa,Pakistan,9,Iftikhar Ahmed,51,35,3,2,145.71,out,T20I # 1861
148,Pakistan Vs South Africa,Pakistan,11,Mohammad Nawaz,28,22,4,1,127.27,out,T20I # 1861
149,Pakistan Vs South Africa,Pakistan,13,Shadab Khan,52,22,3,4,236.36,out,T20I # 1861
150,Pakistan Vs South Africa,Pakistan,15,Mohammad Wasim,0,1,0,0,0.00,out,T20I # 1861
151,Pakistan Vs South Africa,Pakistan,17,Naseem Shah,5,3,0,0,166.66,out,T20I # 1861
152,Pakistan Vs South Africa,Pakistan,18,Haris Rauf,3,2,0,0,150.00,out,T20I # 1861
153,Pakistan Vs South Africa,South Africa,1,Temba Bavuma(c),36,19,4,1,189.47,out,T20I # 1861
154,Pakistan Vs South Africa,South Africa,3,Quinton de Kock†,0,5,0,0,0.00,out,T20I # 1861
155,Pakistan Vs South Africa,South Africa,5,Rilee Rossouw,7,6,0,1,116.66,out,T20I # 1861
156,Pakistan Vs South Africa,South Africa,7,Aiden Markram,20,14,4,0,142.85,out,T20I # 1861
157,Pakistan Vs South Africa,South Africa,9,Heinrich Klaasen,15,9,3,0,166.66,out,T20I # 1861
158,Pakistan Vs South Africa,South Africa,11,Tristan Stubbs,18,18,0,1,100.00,out,T20I # 1861
159,Pakistan Vs South Africa,South Africa,13,Wayne Parnell,3,4,0,0,75.00,out,T20I # 1861
160,Pakistan Vs South Africa,South Africa,15,Kagiso Rabada,1,2,0,0,50.00,out,T20I # 1861
161,Pakistan Vs South Africa,South Africa,17,Anrich Nortje,1,5,0,0,20.00,out,T20I # 1861
162,Pakistan Vs South Africa,South Africa,19,Lungi Ngidi,4,1,1,0,400.00,out,T20I # 1861
163,Pakistan Vs South Africa,South Africa,20,Tabraiz Shamsi,1,1,0,0,100.00,out,T20I # 1861
164,India Vs Bangladesh,India,1,KL Rahul,50,32,3,4,156.25,out,T20I # 1860
165,India Vs Bangladesh,India,3,Rohit Sharma(c),2,8,0,0,25.00,out,T20I # 1860
166,India Vs Bangladesh,India,5,Virat Kohli,64,44,8,1,145.45,out,T20I # 1860
167,India Vs Bangladesh,India,6,Suryakumar Yadav,30,16,4,0,187.50,out,T20I # 1860
168,India Vs Bangladesh,India,8,Hardik Pandya,5,6,0,0,83.33,out,T20I # 1860
169,India Vs Bangladesh,India,10,Dinesh Karthik†,7,5,1,0,140.00,out,T20I # 1860
170,India Vs Bangladesh,India,12,Axar Patel,7,6,1,0,116.66,out,T20I # 1860
171,India Vs Bangladesh,India,14,Ravichandran Ashwin,13,6,1,1,216.66,out,T20I # 1860
172,India Vs Bangladesh,Bangladesh,1,Najmul Hossain Shanto,21,25,1,1,84.00,out,T20I # 1860
173,India Vs Bangladesh,Bangladesh,3,Litton Das,60,27,7,3,222.22,out,T20I # 1860
174,India Vs Bangladesh,Bangladesh,5,Shakib Al Hasan(c),13,12,2,0,108.33,out,T20I # 1860
175,India Vs Bangladesh,Bangladesh,7,Afif Hossain,3,5,0,0,60.00,out,T20I # 1860
176,India Vs Bangladesh,Bangladesh,9,Yasir Ali,1,3,0,0,33.33,out,T20I # 1860
177,India Vs Bangladesh,Bangladesh,11,Nurul Hasan†,25,14,2,1,178.57,out,T20I # 1860
178,India Vs Bangladesh,Bangladesh,12,Mosaddek Hossain,6,3,0,1,200.00,out,T20I # 1860
179,India Vs Bangladesh,Bangladesh,14,Taskin Ahmed,12,7,1,1,171.42,out,T20I # 1860
180,Zimbabwe Vs Netherlands,Zimbabwe,1,Wessly Madhevere,1,5,0,0,20.00,out,T20I # 1859
181,Zimbabwe Vs Netherlands,Zimbabwe,3,Craig Ervine(c),3,12,0,0,25.00,out,T20I # 1859
182,Zimbabwe Vs Netherlands,Zimbabwe,5,Regis Chakabva†,5,16,1,0,31.25,out,T20I # 1859
183,Zimbabwe Vs Netherlands,Zimbabwe,7,Sean Williams,28,23,3,0,121.73,out,T20I # 1859
