Unnamed: 0,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
99,New Zealand Vs Ireland,Ireland,Barry McCarthy,4.0,0,46,0,11.5,4,4,2,0,0,T20I # 1862
100,New Zealand Vs Ireland,Ireland,Gareth Delany,4.0,0,30,2,7.5,11,3,1,1,0,T20I # 1862
101,New Zealand Vs Ireland,Ireland,Fionn Hand,2.0,0,22,0,11.0,2,2,1,0,0,T20I # 1862
102,New Zealand Vs Ireland,Ireland,George Dockrell,2.0,0,18,0,9.0,4,2,0,2,0,T20I # 1862
103,New Zealand Vs Ireland,New Zealand,Trent Boult,4.0,0,38,0,9.5,8,4,1,0,0,T20I # 1862
104,New Zealand Vs Ireland,New Zealand,Tim Southee,4.0,0,29,2,7.25,8,2,1,0,0,T20I # 1862
105,New Zealand Vs Ireland,New Zealand,Lockie Ferguson,4.0,0,22,3,5.5,10,1,0,0,0,T20I # 1862
106,New Zealand Vs Ireland,New Zealand,Mitchell Santner,4.0,0,26,2,6.5,12,3,1,0,0,T20I # 1862
107,New Zealand Vs Ireland,New Zealand,Ish Sodhi,4.0,0,31,2,7.75,10,0,2,1,0,T20I # 1862
108,Pakistan Vs South Africa,South Africa,Wayne Parnell,4.0,0,31,1,7.75,10,3,1,0,0,T20I # 1861
109,Pakistan Vs South Africa,South Africa,Kagiso Rabada,4.0,0,44,1,11.0,7,4,2,0,0,T20I # 1861
110,Pakistan Vs South Africa,South Africa,Lungi Ngidi,4.0,0,32,1,8.0,11,3,1,2,0,T20I # 1861
111,Pakistan Vs South Africa,South Africa,Anrich Nortje,4.0,0,41,4,10.25,11,1,4,0,1,T20I # 1861
112,Pakistan Vs South Africa,South Africa,Tabraiz Shamsi,4.0,0,36,1,9.0,8,2,2,2,0,T20I # 1861
113,Pakistan Vs South Africa,Pakistan,Shaheen Shah Afridi,3.0,0,14,3,4.66,11,2,0,0,0,T20I # 1861
114,Pakistan Vs South Africa,Pakistan,Naseem Shah,3.0,0,19,1,6.33,10,1,1,1,0,T20I # 1861
115,Pakistan Vs South Africa,Pakistan,Haris Rauf,3.0,0,44,1,14.66,2,7,1,1,0,T20I # 1861
116,Pakistan Vs South Africa,Pakistan,Mohammad Wasim,2.0,0,13,1,6.5,3,1,0,0,0,T20I # 1861
117,Pakistan Vs South Africa,Pakistan,Shadab Khan,2.0,0,16,2,8.0,5,1,1,0,0,T20I # 1861
118,Pakistan Vs South Africa,Pakistan,Mohammad Nawaz,1.0,0,2,0,2.0,4,0,0,0,0,T20I # 1861
119,India Vs Bangladesh,Bangladesh,Taskin Ahmed,4.0,0,15,0,3.75,16,2,0,0,0,T20I # 1860
120,India Vs Bangladesh,Bangladesh,Shoriful Islam,4.0,0,57,0,14.25,7,4,4,2,2,T20I # 1860
121,India Vs Bangladesh,Bangladesh,Hasan Mahmud,4.0,0,47,3,11.75,7,6,2,0,1,T20I # 1860
122,India Vs Bangladesh,Bangladesh,Mustafizur Rahman,4.0,0,31,0,7.75,9,4,0,0,0,T20I # 1860
123,India Vs Bangladesh,Bangladesh,Shakib Al Hasan,4.0,0,33,2,8.25,3,2,0,0,0,T20I # 1860
124,India Vs Bangladesh,India,Bhuvneshwar Kumar,3.0,0,27,0,9.0,7,2,2,0,0,T20I # 1860
125,India Vs Bangladesh,India,Arshdeep Singh,4.0,0,38,2,9.5,10,5,1,0,0,T20I # 1860
126,India Vs Bangladesh,India,Mohammed Shami,3.0,0,25,1,8.33,7,2,1,0,0,T20I # 1860
127,India Vs Bangladesh,India,Axar Patel,1.0,0,6,0,6.0,2,0,0,0,0,T20I # 1860
128,India Vs Bangladesh,India,Ravichandran Ashwin,2.0,0,19,0,9.5,4,3,0,1,0,T20I # 1860
129,India Vs Bangladesh,India,Hardik Pandya,3.0,0,28,2,9.33,8,1,3,0,0,T20I # 1860
130,Zimbabwe Vs Netherlands,Netherlands,Fred Klaassen,4.0,0,17,1,4.25,17,0,1,2,0,T20I # 1859
131,Zimbabwe Vs Netherlands,Netherlands,Paul van Meekeren,4.0,0,29,3,7.25,13,3,0,2,0,T20I # 1859
132,Zimbabwe Vs Netherlands,Netherlands,Brandon Glover,4.0,1,29,2,7.25,15,2,2,2,0,T20I # 1859
133,Zimbabwe Vs Netherlands,Netherlands,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0,T20I # 1859
134,Zimbabwe Vs Netherlands,Netherlands,Bas de Leede,4.0,0,14,2,3.5,11,0,0,0,0,T20I # 1859
135,Zimbabwe Vs Netherlands,Netherlands,Roelof van der Merwe,1.0,0,8,0,8.0,2,1,0,0,0,T20I # 1859
136,Zimbabwe Vs Netherlands,Zimbabwe,Tendai Chatara,4.0,0,22,0,5.5,14,4,0,0,0,T20I # 1859
137,Zimbabwe Vs Netherlands,Zimbabwe,Richard Ngarava,4.0,0,18,2,4.5,15,1,1,0,0,T20I # 1859
138,Zimbabwe Vs Netherlands,Zimbabwe,Blessing Muzarabani,4.0,0,23,2,5.75,14,2,1,1,0,T20I # 1859
139,Zimbabwe Vs Netherlands,Zimbabwe,Sean Williams,3.0,0,21,0,7.0,8,2,1,0,0,T20I # 1859
140,Zimbabwe Vs Netherlands,Zimbabwe,Sikandar Raza,1.0,0,6,0,6.0,0,0,0,0,0,T20I # 1859
141,Zimbabwe Vs Netherlands,Zimbabwe,Luke Jongwe,2.0,0,25,1,12.5,3,4,0,3,1,T20I # 1859
142,England Vs New Zealand,New Zealand,Trent Boult,4.0,0,40,0,10.0,8,4,1,1,0,T20I # 1858
143,England Vs New Zealand,New Zealand,Tim Southee,4.0,0,43,1,10.75,9,3,3,0,0,T20I # 1858
144,England Vs New Zealand,New Zealand,Mitchell Santner,4.0,0,25,1,6.25,8,2,0,0,0,T20I # 1858
145,England Vs New Zealand,New Zealand,Lockie Ferguson,4.0,0,45,2,11.25,6,4,2,0,1,T20I # 1858
146,England Vs New Zealand,New Zealand,Ish Sodhi,4.0,0,23,1,5.75,10,2,0,0,0,T20I # 1858
147,England Vs New Zealand,England,Moeen Ali,1.0,0,4,0,4.0,3,0,0,0,0,T20I # 1858
148,England Vs New Zealand,England,Chris Woakes,4.0,0,33,2,8.25,9,1,2,1,0,T20I # 1858
149,England Vs New Zealand,England,Adil Rashid,4.0,0,33,0,8.25,6,0,2,0,0,T20I # 1858
150,England Vs New Zealand,England,Sam Curran,4.0,0,26,2,6.5,9,0,0,2,0,T20I # 1858
151,England Vs New Zealand,England,Mark Wood,3.0,0,25,1,8.33,8,2,1,1,0,T20I # 1858
152,England Vs New Zealand,England,Liam Livingstone,3.0,0,26,0,8.66,4,3,0,0,0,T20I # 1858
153,England Vs New Zealand,England,Ben Stokes,1.0,0,10,1,10.0,2,2,0,0,0,T20I # 1858
154,Afghanistan Vs Sri Lanka,Sri Lanka,Kasun Rajitha,4.0,0,31,1,7.75,11,2,1,1,1,T20I # 1856
155,Afghanistan Vs Sri Lanka,Sri Lanka,Pramod Madushan,3.0,0,24,0,8.0,7,2,1,0,0,T20I # 1856
156,Afghanistan Vs Sri Lanka,Sri Lanka,Lahiru Kumara,4.0,0,30,2,7.5,12,2,1,4,0,T20I # 1856
157,Afghanistan Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,33,0,8.25,5,1,1,1,0,T20I # 1856
158,Afghanistan Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4.0,0,13,3,3.25,12,0,0,0,0,T20I # 1856
159,Afghanistan Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,1.0,0,9,1,9.0,1,1,0,0,0,T20I # 1856
160,Afghanistan Vs Sri Lanka,Afghanistan,Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,1,0,T20I # 1856
161,Afghanistan Vs Sri Lanka,Afghanistan,Mujeeb Ur Rahman,4.0,0,24,2,6.0,12,3,0,0,0,T20I # 1856
162,Afghanistan Vs Sri Lanka,Afghanistan,Fareed Ahmad,2.0,0,25,0,12.5,3,3,1,1,0,T20I # 1856
163,Afghanistan Vs Sri Lanka,Afghanistan,Rashid Khan,4.0,0,31,2,7.75,10,2,1,1,0,T20I # 1856
164,Afghanistan Vs Sri Lanka,Afghanistan,Azmatullah Omarzai,2.0,0,17,0,8.5,2,1,0,1,0,T20I # 1856
165,Afghanistan Vs Sri Lanka,Afghanistan,Mohammad Nabi,2.0,0,16,0,8.0,2,0,1,0,0,T20I # 1856
166,Afghanistan Vs Sri Lanka,Afghanistan,Gulbadin Naib,1.0,0,12,0,12.0,1,2,0,0,0,T20I # 1856
167,Australia Vs Ireland,Ireland,Josh Little,4.0,0,21,2,5.25,13,2,0,2,0,T20I # 1855
168,Australia Vs Ireland,Ireland,Mark Adair,4.0,0,59,0,14.75,6,7,2,6,0,T20I # 1855
169,Australia Vs Ireland,Ireland,Barry McCarthy,4.0,0,29,3,7.25,7,2,0,1,0,T20I # 1855
170,Australia Vs Ireland,Ireland,Gareth Delany,3.0,0,29,0,9.66,10,2,2,2,0,T20I # 1855
171,Australia Vs Ireland,Ireland,Fionn Hand,1.0,0,15,0,15.0,2,0,2,1,0,T20I # 1855
172,Australia Vs Ireland,Ireland,George Dockrell,4.0,0,24,0,6.0,8,0,1,0,0,T20I # 1855
173,Australia Vs Ireland,Australia,Josh Hazlewood,3.0,0,24,0,8.0,8,1,2,1,0,T20I # 1855
174,Australia Vs Ireland,Australia,Pat Cummins,4.0,0,28,2,7.0,14,3,1,1,0,T20I # 1855
