name,team,link
Axar Patel,India,https://www.espncricinfo.com/cricketers/axar-patel-554691
Najmul Hossain Shanto,Bangladesh,https://www.espncricinfo.com/cricketers/najmul-hossain-shanto-629058
Litton Das,Bangladesh,https://www.espncricinfo.com/cricketers/litton-das-536936
Soumya Sarkar,Bangladesh,https://www.espncricinfo.com/cricketers/soumya-sarkar-436677
Shakib Al Hasan(c),Bangladesh,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143
Afif Hossain,Bangladesh,https://www.espncricinfo.com/cricketers/afif-hossain-935995
Mosaddek Hossain,Bangladesh,https://www.espncricinfo.com/cricketers/mosaddek-hossain-550133
Nurul Hasan†,Bangladesh,https://www.espncricinfo.com/cricketers/nurul-hasan-410765
Taskin Ahmed,Bangladesh,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506
Nasum Ahmed,Bangladesh,https://www.espncricinfo.com/cricketers/nasum-ahmed-348049
Mustafizur Rahman,Bangladesh,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902
Mohammad Rizwan†,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389
Babar Azam(c),Pakistan,https://www.espncricinfo.com/cricketers/babar-azam-348144
Mohammad Nawaz,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148
Mohammad Haris,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-haris-1205559
Shan Masood,Pakistan,https://www.espncricinfo.com/cricketers/shan-masood-233901
Iftikhar Ahmed,Pakistan,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603
Shadab Khan,Pakistan,https://www.espncricinfo.com/cricketers/shadab-khan-922943
Shaheen Shah Afridi,Pakistan,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470
Naseem Shah,Pakistan,https://www.espncricinfo.com/cricketers/naseem-shah-1158088
Mohammad Wasim,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538
Haris Rauf,Pakistan,https://www.espncricinfo.com/cricketers/haris-rauf-1161606
Shadab Khan,Pakistan,https://www.espncricinfo.com/cricketers/shadab-khan-922943
Iftikhar Ahmed,Pakistan,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603
Taskin Ahmed,Bangladesh,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506
Nasum Ahmed,Bangladesh,https://www.espncricinfo.com/cricketers/nasum-ahmed-348049
Shakib Al Hasan,Bangladesh,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143
Mustafizur Rahman,Bangladesh,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902
Ebadot Hossain,Bangladesh,https://www.espncricinfo.com/cricketers/ebadot-hossain-932355
Stephan Myburgh,Netherlands,https://www.espncricinfo.com/cricketers/stephan-myburgh-233712
Max O'Dowd,Netherlands,https://www.espncricinfo.com/cricketers/max-o-dowd-643197
Tom Cooper,Netherlands,https://www.espncricinfo.com/cricketers/tom-cooper-219885
Colin Ackermann,Netherlands,https://www.espncricinfo.com/cricketers/colin-ackermann-379774
Bas de Leede,Netherlands,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191
Scott Edwards(c)†,Netherlands,https://www.espncricinfo.com/cricketers/scott-edwards-1127317
Quinton de Kock†,South Africa,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143
Temba Bavuma(c),South Africa,https://www.espncricinfo.com/cricketers/temba-bavuma-372116
Rilee Rossouw,South Africa,https://www.espncricinfo.com/cricketers/rilee-rossouw-318845
Aiden Markram,South Africa,https://www.espncricinfo.com/cricketers/aiden-markram-600498
David Miller,South Africa,https://www.espncricinfo.com/cricketers/david-miller-321777
Heinrich Klaasen,South Africa,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757
Wayne Parnell,South Africa,https://www.espncricinfo.com/cricketers/wayne-parnell-265564
Keshav Maharaj,South Africa,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724
Kagiso Rabada,South Africa,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215
Anrich Nortje,South Africa,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
Wayne Parnell,South Africa,https://www.espncricinfo.com/cricketers/wayne-parnell-265564
Kagiso Rabada,South Africa,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215
Lungi Ngidi,South Africa,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023
Anrich Nortje,South Africa,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
Keshav Maharaj,South Africa,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724
Aiden Markram,South Africa,https://www.espncricinfo.com/cricketers/aiden-markram-600498
Fred Klaassen,Netherlands,https://www.espncricinfo.com/cricketers/fred-klaassen-1104703
Paul van Meekeren,Netherlands,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109
Colin Ackermann,Netherlands,https://www.espncricinfo.com/cricketers/colin-ackermann-379774
Roelof van der Merwe,Netherlands,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850
Brandon Glover,Netherlands,https://www.espncricinfo.com/cricketers/brandon-glover-595419
Logan van Beek,Netherlands,https://www.espncricinfo.com/cricketers/logan-van-beek-440522
Bas de Leede,Netherlands,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191
Pathum Nissanka,Sri Lanka,https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655
Kusal Mendis†,Sri Lanka,https://www.espncricinfo.com/cricketers/kusal-mendis-629074
Dhananjaya de Silva,Sri Lanka,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793
Charith Asalanka,Sri Lanka,https://www.espncricinfo.com/cricketers/charith-asalanka-784367
Bhanuka Rajapaksa,Sri Lanka,https://www.espncricinfo.com/cricketers/bhanuka-rajapaksa-342619
Dasun Shanaka(c),Sri Lanka,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316
Wanindu Hasaranga,Sri Lanka,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379
Chamika Karunaratne,Sri Lanka,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695
Maheesh Theekshana,Sri Lanka,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316
Jos Buttler(c)†,England,https://www.espncricinfo.com/cricketers/jos-buttler-308967
Alex Hales,England,https://www.espncricinfo.com/cricketers/alex-hales-249866
Ben Stokes,England,https://www.espncricinfo.com/cricketers/ben-stokes-311158
Harry Brook,England,https://www.espncricinfo.com/cricketers/harry-brook-911707
Liam Livingstone,England,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
Moeen Ali,England,https://www.espncricinfo.com/cricketers/moeen-ali-8917
