,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
142,New Zealand Vs Ireland,Ireland,20,Josh Little,Not Out,8,4,0,1,200.00
143,Pakistan Vs South Africa,Pakistan,1,Mohammad Rizwan †,b Parnell,4,4,1,0,100.00
144,Pakistan Vs South Africa,Pakistan,3,Babar Azam (c),c Rabada b Ngidi,6,15,0,0,40.00
145,Pakistan Vs South Africa,Pakistan,5,Mohammad Haris,lbw b Nortje,28,11,2,3,254.54
146,Pakistan Vs South Africa,Pakistan,7,Shan Masood,c Bavuma b Nortje,2,6,0,0,33.33
147,Pakistan Vs South Africa,Pakistan,9,Iftikhar Ahmed,c Rossouw b Rabada,51,35,3,2,145.71
148,Pakistan Vs South Africa,Pakistan,11,Mohammad Nawaz,lbw b Shamsi,28,22,4,1,127.27
149,Pakistan Vs South Africa,Pakistan,13,Shadab Khan,c Stubbs b Nortje,52,22,3,4,236.36
150,Pakistan Vs South Africa,Pakistan,15,Mohammad Wasim,c Bavuma b Nortje,0,1,0,0,0.00
151,Pakistan Vs South Africa,Pakistan,17,Naseem Shah,Not Out,5,3,0,0,166.66
152,Pakistan Vs South Africa,Pakistan,18,Haris Rauf,run out (Klaasen/Bavuma),3,2,0,0,150.00
153,Pakistan Vs South Africa,South Africa,1,Temba Bavuma (c),c †Mohammad Rizwan b Shadab Khan,36,19,4,1,189.47
154,Pakistan Vs South Africa,South Africa,3,Quinton de Kock †,c Mohammad Haris b Shaheen Shah Afridi,0,5,0,0,0.00
155,Pakistan Vs South Africa,South Africa,5,Rilee Rossouw,c Naseem Shah b Shaheen Shah Afridi,7,6,0,1,116.66
156,Pakistan Vs South Africa,South Africa,7,Aiden Markram,b Shadab Khan,20,14,4,0,142.85
157,Pakistan Vs South Africa,South Africa,9,Heinrich Klaasen,c Mohammad Wasim b Shaheen Shah Afridi,15,9,3,0,166.66
158,Pakistan Vs South Africa,South Africa,11,Tristan Stubbs,c Mohammad Nawaz b Naseem Shah,18,18,0,1,100.00
159,Pakistan Vs South Africa,South Africa,13,Wayne Parnell,lbw b Mohammad Wasim,3,4,0,0,75.00
160,Pakistan Vs South Africa,South Africa,15,Kagiso Rabada,run out (Mohammad Nawaz/Haris Rauf),1,2,0,0,50.00
161,Pakistan Vs South Africa,South Africa,17,Anrich Nortje,c Mohammad Haris b Haris Rauf,1,5,0,0,20.00
162,Pakistan Vs South Africa,South Africa,19,Lungi Ngidi,Not Out,4,1,1,0,400.00
163,Pakistan Vs South Africa,South Africa,20,Tabraiz Shamsi,Not Out,1,1,0,0,100.00
164,India Vs Bangladesh,India,1,KL Rahul,c Mustafizur Rahman b Shakib Al Hasan,50,32,3,4,156.25
165,India Vs Bangladesh,India,3,Rohit Sharma (c),c Yasir Ali b Hasan Mahmud,2,8,0,0,25.00
166,India Vs Bangladesh,India,5,Virat Kohli,Not Out,64,44,8,1,145.45
167,India Vs Bangladesh,India,6,Suryakumar Yadav,b Shakib Al Hasan,30,16,4,0,187.50
168,India Vs Bangladesh,India,8,Hardik Pandya,c Yasir Ali b Hasan Mahmud,5,6,0,0,83.33
169,India Vs Bangladesh,India,10,Dinesh Karthik †,run out (Shakib Al Hasan/Shoriful Islam),7,5,1,0,140.00
170,India Vs Bangladesh,India,12,Axar Patel,c Shakib Al Hasan b Hasan Mahmud,7,6,1,0,116.66
171,India Vs Bangladesh,India,14,Ravichandran Ashwin,Not Out,13,6,1,1,216.66
172,India Vs Bangladesh,Bangladesh,1,Najmul Hossain Shanto,c Yadav b Mohammed Shami,21,25,1,1,84.00
173,India Vs Bangladesh,Bangladesh,3,Litton Das,run out (Rahul),60,27,7,3,222.22
174,India Vs Bangladesh,Bangladesh,5,Shakib Al Hasan (c),c sub (DJ Hooda) b Arshdeep Singh,13,12,2,0,108.33
175,India Vs Bangladesh,Bangladesh,7,Afif Hossain,c Yadav b Arshdeep Singh,3,5,0,0,60.00
176,India Vs Bangladesh,Bangladesh,9,Yasir Ali,c Arshdeep Singh b Pandya,1,3,0,0,33.33
177,India Vs Bangladesh,Bangladesh,11,Nurul Hasan †,Not Out,25,14,2,1,178.57
178,India Vs Bangladesh,Bangladesh,12,Mosaddek Hossain,b Pandya,6,3,0,1,200.00
179,India Vs Bangladesh,Bangladesh,14,Taskin Ahmed,Not Out,12,7,1,1,171.42
180,Zimbabwe Vs Netherlands,Zimbabwe,1,Wessly Madhevere,b van Meekeren,1,5,0,0,20.00
181,Zimbabwe Vs Netherlands,Zimbabwe,3,Craig Ervine (c),c †Edwards b Glover,3,12,0,0,25.00
182,Zimbabwe Vs Netherlands,Zimbabwe,5,Regis Chakabva †,lbw b Glover,5,16,1,0,31.25
183,Zimbabwe Vs Netherlands,Zimbabwe,7,Sean Williams,c O'Dowd b van Meekeren,28,23,3,0,121.73
184,Zimbabwe Vs Netherlands,Zimbabwe,9,Sikandar Raza,c Klaassen b de Leede,40,24,3,3,166.66
185,Zimbabwe Vs Netherlands,Zimbabwe,11,Milton Shumba,c Myburgh b van Beek,2,3,0,0,66.66
186,Zimbabwe Vs Netherlands,Zimbabwe,13,Ryan Burl,b van Meekeren,2,7,0,0,28.57
187,Zimbabwe Vs Netherlands,Zimbabwe,15,Luke Jongwe,c van Beek b de Leede,6,8,0,0,75.00
188,Zimbabwe Vs Netherlands,Zimbabwe,17,Richard Ngarava,c Myburgh b Klaassen,9,7,0,1,128.57
189,Zimbabwe Vs Netherlands,Zimbabwe,19,Tendai Chatara,Not Out,6,7,0,0,85.71
190,Zimbabwe Vs Netherlands,Zimbabwe,20,Blessing Muzarabani,c Glover b van Beek,1,4,0,0,25.00
191,Zimbabwe Vs Netherlands,Netherlands,1,Stephan Myburgh,c Burl b Muzarabani,8,7,0,1,114.28
192,Zimbabwe Vs Netherlands,Netherlands,3,Max O'Dowd,c Shumba b Muzarabani,52,47,8,1,110.63
193,Zimbabwe Vs Netherlands,Netherlands,5,Tom Cooper,c Madhevere b Jongwe,32,29,2,1,110.34
194,Zimbabwe Vs Netherlands,Netherlands,7,Colin Ackermann,c Jongwe b Ngarava,1,5,0,0,20.00
195,Zimbabwe Vs Netherlands,Netherlands,9,Bas de Leede,Not Out,12,12,2,0,100.00
196,Zimbabwe Vs Netherlands,Netherlands,10,Scott Edwards (c)†,c †Chakabva b Ngarava,5,6,1,0,83.33
197,Zimbabwe Vs Netherlands,Netherlands,12,Roelof van der Merwe,Not Out,0,3,0,0,0.00
198,England Vs New Zealand,England,1,Jos Buttler (c)†,run out (Williamson/Southee),73,47,7,2,155.31
199,England Vs New Zealand,England,3,Alex Hales,st †Conway b Santner,52,40,7,1,130.00
200,England Vs New Zealand,England,5,Moeen Ali,c Boult b Sodhi,5,6,0,0,83.33
201,England Vs New Zealand,England,7,Liam Livingstone,b Ferguson,20,14,1,1,142.85
202,England Vs New Zealand,England,9,Harry Brook,c Allen b Southee,7,3,0,1,233.33
203,England Vs New Zealand,England,11,Ben Stokes,lbw b Ferguson,8,7,0,0,114.28
204,England Vs New Zealand,England,13,Sam Curran,Not Out,6,3,0,1,200.00
205,England Vs New Zealand,England,14,Dawid Malan,Not Out,3,1,0,0,300.00
206,England Vs New Zealand,New Zealand,1,Finn Allen,c Stokes b Curran,16,11,0,1,145.45
207,England Vs New Zealand,New Zealand,3,Devon Conway †,c †Buttler b Woakes,3,9,0,0,33.33
208,England Vs New Zealand,New Zealand,5,Kane Williamson (c),c Rashid b Stokes,40,40,3,0,100.00
209,England Vs New Zealand,New Zealand,7,Glenn Phillips,c sub (CJ Jordan) b Curran,62,36,4,3,172.22
210,England Vs New Zealand,New Zealand,9,James Neesham,c Curran b Wood,6,3,1,0,200.00
211,England Vs New Zealand,New Zealand,11,Daryl Mitchell,c sub (CJ Jordan) b Woakes,3,5,0,0,60.00
212,England Vs New Zealand,New Zealand,13,Mitchell Santner,Not Out,16,10,0,1,160.00
213,England Vs New Zealand,New Zealand,14,Ish Sodhi,Not Out,6,6,0,0,100.00
214,Afghanistan Vs Sri Lanka,Afghanistan,1,Rahmanullah Gurbaz †,b Kumara,28,24,2,2,116.66
215,Afghanistan Vs Sri Lanka,Afghanistan,3,Usman Ghani,c Shanaka b Hasaranga,27,27,2,1,100.00
216,Afghanistan Vs Sri Lanka,Afghanistan,5,Ibrahim Zadran,c Rajapaksa b Kumara,22,18,1,1,122.22
217,Afghanistan Vs Sri Lanka,Afghanistan,7,Najibullah Zadran,c Hasaranga b de Silva,18,16,1,0,112.50
218,Afghanistan Vs Sri Lanka,Afghanistan,9,Gulbadin Naib,run out (Nissanka/†Mendis),12,14,0,0,85.71
219,Afghanistan Vs Sri Lanka,Afghanistan,11,Mohammad Nabi (c),c Shanaka b Rajitha,13,8,1,0,162.50
220,Afghanistan Vs Sri Lanka,Afghanistan,13,Rashid Khan,b Hasaranga,9,8,1,0,112.50
221,Afghanistan Vs Sri Lanka,Afghanistan,15,Azmatullah Omarzai,Not Out,3,4,0,0,75.00
222,Afghanistan Vs Sri Lanka,Afghanistan,16,Mujeeb Ur Rahman,st †Mendis b Hasaranga,1,2,0,0,50.00
223,Afghanistan Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,b Mujeeb Ur Rahman,10,10,2,0,100.00
224,Afghanistan Vs Sri Lanka,Sri Lanka,3,Kusal Mendis †,c †Rahmanullah Gurbaz b Rashid Khan,25,27,2,1,92.59
225,Afghanistan Vs Sri Lanka,Sri Lanka,5,Dhananjaya de Silva,Not Out,66,42,6,2,157.14
226,Afghanistan Vs Sri Lanka,Sri Lanka,6,Charith Asalanka,c Azmatullah Omarzai b Rashid Khan,19,18,1,0,105.55
227,Afghanistan Vs Sri Lanka,Sri Lanka,8,Bhanuka Rajapaksa,c †Rahmanullah Gurbaz b Mujeeb Ur Rahman,18,14,3,0,128.57
228,Afghanistan Vs Sri Lanka,Sri Lanka,10,Dasun Shanaka (c),Not Out,0,0,0,0,-
229,Australia Vs Ireland,Australia,1,David Warner,c Adair b McCarthy,3,7,0,0,42.85
230,Australia Vs Ireland,Australia,3,Aaron Finch (c),c Adair b McCarthy,63,44,5,3,143.18
231,Australia Vs Ireland,Australia,5,Mitchell Marsh,c †Tucker b McCarthy,28,22,2,2,127.27
232,Australia Vs Ireland,Australia,7,Glenn Maxwell,c †Tucker b Little,13,9,0,1,144.44
233,Australia Vs Ireland,Australia,9,Marcus Stoinis,c Dockrell b Little,35,25,3,1,140.00
234,Australia Vs Ireland,Australia,11,Tim David,Not Out,15,10,2,0,150.00
235,Australia Vs Ireland,Australia,12,Matthew Wade †,Not Out,7,3,1,0,233.33
236,Australia Vs Ireland,Ireland,1,Paul Stirling,c Cummins b Maxwell,11,7,1,1,157.14
237,Australia Vs Ireland,Ireland,3,Andy Balbirnie (c),b Cummins,6,7,0,1,85.71
238,Australia Vs Ireland,Ireland,5,Lorcan Tucker †,Not Out,71,48,9,1,147.91
239,Australia Vs Ireland,Ireland,6,Harry Tector,c sub (SPD Smith) b Maxwell,6,4,1,0,150.00
240,Australia Vs Ireland,Ireland,8,Curtis Campher,b Starc,0,1,0,0,0.00
241,Australia Vs Ireland,Ireland,10,George Dockrell,b Starc,0,4,0,0,0.00
242,Australia Vs Ireland,Ireland,12,Gareth Delany,c Maxwell b Stoinis,14,10,2,0,140.00
243,Australia Vs Ireland,Ireland,14,Mark Adair,st †Wade b Zampa,11,11,1,0,100.00
244,Australia Vs Ireland,Ireland,16,Fionn Hand,b Zampa,6,6,1,0,100.00
245,Australia Vs Ireland,Ireland,18,Barry McCarthy,c sub (SPD Smith) b Cummins,3,7,0,0,42.85
246,Australia Vs Ireland,Ireland,20,Josh Little,run out (Marsh/Maxwell),1,5,0,0,20.00
247,India Vs South Africa,India,1,KL Rahul,c Markram b Ngidi,9,14,0,1,64.28
248,India Vs South Africa,India,3,Rohit Sharma (c),c & b Ngidi,15,14,1,1,107.14
249,India Vs South Africa,India,5,Virat Kohli,c Rabada b Ngidi,12,11,2,0,109.09
250,India Vs South Africa,India,7,Suryakumar Yadav,c Maharaj b Parnell,68,40,6,3,170.00
251,India Vs South Africa,India,9,Deepak Hooda,c †de Kock b Nortje,0,3,0,0,0.00
252,India Vs South Africa,India,11,Hardik Pandya,c Rabada b Ngidi,2,3,0,0,66.66
253,India Vs South Africa,India,13,Dinesh Karthik †,c Rossouw b Parnell,6,15,0,0,40.00
