,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
90,Australia Vs Afghanistan,Afghanistan,Mohammad Nabi,1,0,14,0,14.00,1,1,1,0,0
91,Australia Vs Afghanistan,Australia,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0
92,Australia Vs Afghanistan,Australia,Pat Cummins,4,0,22,0,5.50,12,2,0,0,0
93,Australia Vs Afghanistan,Australia,Marcus Stoinis,2,0,26,0,13.00,2,2,1,2,0
94,Australia Vs Afghanistan,Australia,Kane Richardson,4,0,48,1,12.00,4,3,3,1,0
95,Australia Vs Afghanistan,Australia,Adam Zampa,4,0,22,2,5.50,11,1,0,0,0
96,Australia Vs Afghanistan,Australia,Cameron Green,2,0,13,0,6.50,7,1,1,0,0
97,New Zealand Vs Ireland,Ireland,Josh Little,4,0,22,3,5.50,10,2,0,1,0
98,New Zealand Vs Ireland,Ireland,Mark Adair,4,0,39,1,9.75,9,3,1,3,0
99,New Zealand Vs Ireland,Ireland,Barry McCarthy,4,0,46,0,11.50,4,4,2,0,0
100,New Zealand Vs Ireland,Ireland,Gareth Delany,4,0,30,2,7.50,11,3,1,1,0
101,New Zealand Vs Ireland,Ireland,Fionn Hand,2,0,22,0,11.00,2,2,1,0,0
102,New Zealand Vs Ireland,Ireland,George Dockrell,2,0,18,0,9.00,4,2,0,2,0
103,New Zealand Vs Ireland,New Zealand,Trent Boult,4,0,38,0,9.50,8,4,1,0,0
104,New Zealand Vs Ireland,New Zealand,Tim Southee,4,0,29,2,7.25,8,2,1,0,0
105,New Zealand Vs Ireland,New Zealand,Lockie Ferguson,4,0,22,3,5.50,10,1,0,0,0
106,New Zealand Vs Ireland,New Zealand,Mitchell Santner,4,0,26,2,6.50,12,3,1,0,0
107,New Zealand Vs Ireland,New Zealand,Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0
108,Pakistan Vs South Africa,South Africa,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0
109,Pakistan Vs South Africa,South Africa,Kagiso Rabada,4,0,44,1,11.00,7,4,2,0,0
110,Pakistan Vs South Africa,South Africa,Lungi Ngidi,4,0,32,1,8.00,11,3,1,2,0
111,Pakistan Vs South Africa,South Africa,Anrich Nortje,4,0,41,4,10.25,11,1,4,0,1
112,Pakistan Vs South Africa,South Africa,Tabraiz Shamsi,4,0,36,1,9.00,8,2,2,2,0
113,Pakistan Vs South Africa,Pakistan,Shaheen Shah Afridi,3,0,14,3,4.66,11,2,0,0,0
114,Pakistan Vs South Africa,Pakistan,Naseem Shah,3,0,19,1,6.33,10,1,1,1,0
115,Pakistan Vs South Africa,Pakistan,Haris Rauf,3,0,44,1,14.66,2,7,1,1,0
116,Pakistan Vs South Africa,Pakistan,Mohammad Wasim,2,0,13,1,6.50,3,1,0,0,0
117,Pakistan Vs South Africa,Pakistan,Shadab Khan,2,0,16,2,8.00,5,1,1,0,0
118,Pakistan Vs South Africa,Pakistan,Mohammad Nawaz,1,0,2,0,2.00,4,0,0,0,0
119,India Vs Bangladesh,Bangladesh,Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0
120,India Vs Bangladesh,Bangladesh,Shoriful Islam,4,0,57,0,14.25,7,4,4,2,2
121,India Vs Bangladesh,Bangladesh,Hasan Mahmud,4,0,47,3,11.75,7,6,2,0,1
122,India Vs Bangladesh,Bangladesh,Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0
123,India Vs Bangladesh,Bangladesh,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0
124,India Vs Bangladesh,India,Bhuvneshwar Kumar,3,0,27,0,9.00,7,2,2,0,0
125,India Vs Bangladesh,India,Arshdeep Singh,4,0,38,2,9.50,10,5,1,0,0
126,India Vs Bangladesh,India,Mohammed Shami,3,0,25,1,8.33,7,2,1,0,0
127,India Vs Bangladesh,India,Axar Patel,1,0,6,0,6.00,2,0,0,0,0
128,India Vs Bangladesh,India,Ravichandran Ashwin,2,0,19,0,9.50,4,3,0,1,0
129,India Vs Bangladesh,India,Hardik Pandya,3,0,28,2,9.33,8,1,3,0,0
130,Zimbabwe Vs Netherlands,Netherlands,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0
131,Zimbabwe Vs Netherlands,Netherlands,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0
132,Zimbabwe Vs Netherlands,Netherlands,Brandon Glover,4,1,29,2,7.25,15,2,2,2,0
133,Zimbabwe Vs Netherlands,Netherlands,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0
